Gld,Gls,diam,diam_soma,gcal,gks,gnap,ld
False,False,False,False,False,False,False,False
False,False,False,True,False,True,False,False
False,False,False,False,True,False,False,False
False,True,False,True,True,True,False,False
False,False,False,True,True,True,False,False
False,True,False,True,True,True,False,False
False,True,False,True,True,True,False,False
False,False,False,True,True,True,False,False
False,False,False,False,True,False,False,False
False,False,False,True,True,True,False,False
False,True,True,True,True,True,False,False
False,True,False,False,False,False,True,False
False,True,False,True,False,True,True,False
False,True,False,True,False,True,True,False
False,True,False,True,False,True,True,False
False,True,False,True,False,True,True,False
False,True,False,False,True,False,True,False
False,True,False,False,True,False,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,False,True,True,True,True,False
False,True,True,True,True,True,True,False
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
False,True,True,False,True,True,True,True
